code,flow,gen_lines,n_trace_fns,trace_ops,fn_median,fn_max,fn_above_500,fma,nenv,interp_calls,fill_div,fill_trans_total,fill_trans_distinct,fill_trans_waste,wrap_trans_total,wrap_trans_distinct,wrap_lines,fill_powr_negative
nf2,ZA4,20573,75,20318,236,2278,7,0,10,69,5,51,4,47,66,31,169,0
nf2,ZAqbq4,8645,102,5055,43,132,0,0,8,181,4,4,1,3,129,20,655,0
nf2,ZAAqbq2,6289,27,3728,122,360,0,0,16,124,11,103,4,99,245,67,561,0
nf2,ZAqbq1,5506,55,3418,51,185,0,0,8,123,4,4,1,3,129,29,481,0
nf2,ZAqbq7,4837,54,3017,47,175,0,0,8,123,4,4,1,3,129,25,497,0
nf2,ZAAqbq1,2379,14,1428,64,306,0,0,16,89,11,103,4,99,189,56,430,0
nf2,ZA3,1776,3,427,69,329,0,0,6,64,2,2,1,1,78,15,279,0
nf2,ZAcbc,445,6,401,71,116,0,0,8,31,4,4,1,3,22,13,93,0
nf2,Zq,205,9,160,16,35,0,0,4,17,1,0,0,0,10,5,84,0
nf2,ZA,167,8,125,16,34,0,0,4,25,1,0,0,0,14,5,81,0
nf2,Zc,56,2,32,23,23,0,0,4,14,1,0,0,0,6,3,65,0
