flow         arch      regs  stack  spillS  spillL     DADD     DMUL     DFMA   DSETP    MUFU   fp64_tot    occ%
ZA           sm_80       30      0       0       0        4       27       43       1       3         78    100%
ZA           sm_89       34      0       0       0        4       27       43       1       3         78    100%
ZA           sm_90       30      0       0       0        4       27       43       1       3         78    100%
ZA3          sm_80       56      0       0       0        8       83      165       3       6        265     56%
ZA3          sm_89       54      0       0       0        8       84      165       3       6        266     75%
ZA3          sm_90       54      0       0       0        8       84      165       3       6        266     56%
ZA4          sm_80      254   1400    1824    1824      151     2339     5981       5      10       8486     12%
ZA4          sm_89      254   1192    1600    1600      151     2327     5978       5      10       8471     16%
ZA4          sm_90      168   4976   11636   11780      151     2429     5994       5      10       8589     18%
ZAAqbq1      sm_80       96     40       0       0       28      193      533       5      12        771     32%
ZAAqbq1      sm_89       64     40       0       0       28      203      533       5      12        781     66%
ZAAqbq1      sm_90       64     40       0       0       28      203      533       5      12        781     50%
ZAAqbq2      sm_80      128     40       0       0       45      429     1187       5      14       1680     25%
ZAAqbq2      sm_89      128     40       0       0       45      438     1189       5      14       1691     33%
ZAAqbq2      sm_90      166     40       0       0       45      434     1187       5      14       1685     18%
ZAcbc        sm_80       46      0       0       0       13       82      148       3       8        254     65%
ZAcbc        sm_89       46      0       0       0       13       83      148       3       8        255     87%
ZAcbc        sm_90       54      0       0       0       13       83      148       3       8        255     56%
ZAqbq1       sm_80      252      0       0       0       52      439      807       3       7       1308     12%
ZAqbq1       sm_89      252      0       0       0       52      440      807       3       7       1309     16%
ZAqbq1       sm_90      252      0       0       0       52      439      807       3       7       1308     12%
ZAqbq4       sm_80      252      0       0       0       70      603     1072       3       7       1755     12%
ZAqbq4       sm_89      252      0       0       0       70      603     1072       3       7       1755     16%
ZAqbq4       sm_90      254      0       0       0       70      605     1072       3       7       1757     12%
ZAqbq7       sm_80      252      0       0       0       48      421      670       3       7       1149     12%
ZAqbq7       sm_89      252      0       0       0       48      422      670       3       7       1150     16%
ZAqbq7       sm_90      252      0       0       0       48      423      670       3       7       1151     12%
Zc           sm_80       24      0       0       0        1       15       26       1       3         46    100%
Zc           sm_89       24      0       0       0        1       15       26       1       3         46    100%
Zc           sm_90       24      0       0       0        1       15       26       1       3         46    100%
Zq           sm_80       30      0       0       0        1       41       47       1       3         93    100%
Zq           sm_89       36      0       0       0        1       41       47       1       3         93    100%
Zq           sm_90       28      0       0       0        1       42       47       1       3         94    100%
