flow,arch,extra,regs,stack,spill_store,spill_load,dadd,dmul,dfma,dsetp,mufu,fp64_total,occ_pct,waves
ZA,sm_80,"",28,0,0,0,3,13,30,1,3,50,100,64
ZA,sm_89,"",30,0,0,0,3,13,30,1,3,50,100,48
ZA,sm_90,"",28,0,0,0,3,13,30,1,3,50,100,64
ZA3,sm_80,"",52,0,0,0,7,82,166,3,6,264,56,36
ZA3,sm_89,"",54,0,0,0,7,83,166,3,6,265,75,36
ZA3,sm_90,"",46,0,0,0,7,83,166,3,6,265,65,42
ZA4,sm_80,"",128,40,0,0,25,429,1334,5,10,1803,25,16
ZA4,sm_89,"",96,40,0,0,25,436,1335,5,10,1811,43,21
ZA4,sm_90,"",128,40,0,0,25,434,1334,5,10,1808,25,16
ZAcbc,sm_80,"",46,0,0,0,11,88,152,3,8,262,65,42
ZAcbc,sm_89,"",44,0,0,0,11,88,153,3,8,263,87,42
ZAcbc,sm_90,"",46,0,0,0,11,89,152,3,8,263,65,42
Zc,sm_80,"",24,0,0,0,1,15,26,1,3,46,100,64
Zc,sm_89,"",24,0,0,0,1,15,26,1,3,46,100,48
Zc,sm_90,"",24,0,0,0,1,15,26,1,3,46,100,64
ZA,sm_80,"",30,0,0,0,4,30,43,1,3,81,100,64
ZA,sm_89,"",36,0,0,0,4,30,43,1,3,81,100,48
ZA,sm_90,"",30,0,0,0,4,30,43,1,3,81,100,64
ZA4,sm_80,"",254,664,784,784,35,2311,6097,5,10,8458,12,8
ZA4,sm_89,"",254,456,424,424,35,2307,6096,5,10,8453,16,8
ZA4,sm_90,"",255,3328,6156,6180,35,2384,6110,5,10,8544,12,8
ZAcbc,sm_80,"",46,0,0,0,11,88,152,3,8,262,65,42
ZAcbc,sm_89,"",44,0,0,0,11,88,153,3,8,263,87,42
ZAcbc,sm_90,"",46,0,0,0,11,89,152,3,8,263,65,42
Zc,sm_80,"",24,0,0,0,1,15,26,1,3,46,100,64
Zc,sm_89,"",24,0,0,0,1,15,26,1,3,46,100,48
Zc,sm_90,"",24,0,0,0,1,15,26,1,3,46,100,64
Zq,sm_80,"",30,0,0,0,1,41,47,1,3,93,100,64
Zq,sm_89,"",36,0,0,0,1,41,47,1,3,93,100,48
Zq,sm_90,"",30,0,0,0,1,42,47,1,3,94,100,64
